20
0.895 -0.179 -0.738 0.771 -0.816 -0.676 -0.858 -0.269 11.239 -0.730 0.566 -0.089 -0.301 -0.095 0.618 0.863 0.303 -0.570 0.359 0.818    -4.480 
0.547 0.455 -0.362 -0.165 0.365 0.361 -0.589 0.673 0.418 0.657 -0.811 -0.837 10.694 0.259 -0.572 -0.573 -0.838 -0.222 0.904 0.895    -2.944 
0.153 0.753 -0.120 0.459 0.739 0.431 0.601 0.413 0.483 -0.962 9.001 0.050 -0.073 -0.870 0.427 -0.022 0.335 0.364 -0.601 0.833    6.435 
0.722 -0.057 0.012 0.201 0.635 0.512 -0.076 0.903 0.265 9.074 0.649 0.378 0.404 0.974 0.909 0.703 -0.421 0.075 0.029 -0.793    -3.378 
0.736 0.259 0.472 0.451 8.561 0.777 -0.534 -0.387 -0.298 0.027 0.182 0.692 -0.176 0.683 -0.461 -0.169 0.075 -0.064 -0.426 -0.643    -4.752 
-0.533 -0.797 -0.561 0.269 0.392 0.590 0.392 0.506 0.339 0.267 -0.887 0.196 -0.546 -0.362 8.801 -0.765 0.525 0.052 0.108 0.176    -4.779 
0.876 -0.520 -0.638 -0.365 0.774 0.304 9.815 0.363 -0.228 -0.225 -0.001 -0.705 0.174 0.691 0.180 0.911 0.112 -0.704 0.967 -0.182    -8.300 
-0.568 -0.228 0.254 0.318 0.419 0.077 -0.439 0.632 -0.256 0.372 -0.380 -0.981 -0.792 0.042 0.552 -0.559 -0.889 -0.859 -0.679 9.566    -3.463 
10.194 -0.737 0.511 -0.083 0.066 -0.562 -0.906 0.358 0.359 0.869 -0.233 0.039 0.662 -0.931 -0.893 0.059 0.342 -0.985 -0.233 -0.866    -1.593 
-0.362 0.973 -0.012 11.725 -0.819 0.896 -0.853 0.001 -0.232 -0.446 0.828 0.059 -0.071 0.882 -0.900 0.523 0.540 0.656 -0.749 -0.968    8.145 
0.445 0.507 9.556 -0.855 0.263 0.769 -0.455 -0.127 0.533 -0.045 -0.524 -0.450 -0.281 -0.667 -0.027 0.795 0.818 -0.879 0.809 0.009    1.193 
0.780 0.088 -0.722 -0.099 0.979 -0.569 -0.108 -0.369 0.029 0.763 -0.121 9.714 0.613 -0.270 -0.577 0.998 -0.693 0.261 0.233 -0.999    -10.557 
0.374 10.056 0.861 0.692 0.054 -0.816 0.308 -0.168 0.402 0.821 0.524 -0.475 -0.905 0.472 -0.344 0.265 0.513 0.982 -0.269 -0.506    10.310 
-0.462 0.384 -0.432 0.554 0.568 -0.155 -0.436 -0.612 -0.977 -0.616 0.966 -0.512 0.639 11.270 -0.204 0.202 -0.646 0.657 -0.685 0.976    -3.392 
0.143 0.605 -0.934 0.069 -0.003 11.287 0.497 0.109 0.781 0.250 0.684 -0.680 -0.574 0.429 -0.739 -0.818 -0.451 -0.994 -0.171 -0.946    6.354 
0.406 -0.714 -0.677 -0.029 0.720 0.627 0.114 0.478 -0.368 -0.729 0.057 -0.379 0.176 0.036 -0.138 7.120 -0.260 -0.214 -0.106 -0.048    -2.345 
-0.441 -0.843 -0.261 -0.492 0.344 0.352 0.028 0.457 0.442 0.890 -0.079 0.880 -0.357 -0.079 0.034 0.323 8.559 0.211 0.973 -0.699    0.305 
-0.312 0.083 0.046 0.658 -0.970 -0.452 0.286 0.092 0.836 -0.467 0.940 -0.507 0.688 0.388 -0.088 0.634 -0.956 9.456 0.414 0.416    -0.786 
0.165 0.503 0.983 0.391 -0.441 0.508 -0.658 -0.991 -0.009 -0.840 -0.674 0.807 0.566 0.493 -0.127 -0.987 0.170 0.037 10.767 0.088    -1.269 
0.130 -0.496 -0.023 -0.072 0.922 -0.748 -0.600 8.669 0.259 -0.747 0.303 0.243 0.606 -0.504 -0.047 -0.221 -0.593 -0.943 0.803 -0.147    -7.302 

